metric_name,split,model_slug,stage,score,num_filtered_samples,num_metric_rows,num_missing_rows
main_benchmark_rating,filtered_test,qwen35_9b,,1.5963000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,qwen35_9b,,1.5970000000,539,539,0
main_benchmark_rating,filtered_test,kimi_k2_5,,2.9576000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,kimi_k2_5,,3.0648000000,539,539,0
main_benchmark_rating,filtered_test,kimi_k2_5_reasoning,,3.2297000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,kimi_k2_5_reasoning,,3.2930000000,539,539,0
main_benchmark_rating,filtered_test,qwen35_397b_a17b,,2.2684000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,qwen35_397b_a17b,,2.4072000000,539,539,0
main_benchmark_rating,filtered_test,qwen35_397b_a17b_reasoning,,2.9519000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,qwen35_397b_a17b_reasoning,,3.0013000000,539,539,0
main_benchmark_rating,filtered_test,gpt_5_4,,4.0477000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,gpt_5_4,,4.1155000000,539,539,0
main_benchmark_rating,filtered_test,gpt_5_4_mini,,3.7287000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,gpt_5_4_mini,,3.8470000000,539,539,0
main_benchmark_rating,filtered_test,gpt_5_4_mini_reasoning_medium,,4.0567000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,gpt_5_4_mini_reasoning_medium,,4.1023000000,539,539,0
main_benchmark_rating,filtered_test,gemini_3_1_flash_lite_preview,,3.1357000000,2169,2169,0
main_benchmark_rating,filtered_test_mini,gemini_3_1_flash_lite_preview,,3.1704000000,539,539,0
generic_rubric_rating,filtered_test_mini,qwen35_9b,,2.3771000000,539,539,0
generic_rubric_rating,filtered_test_mini,kimi_k2_5,,3.6322000000,539,539,0
generic_rubric_rating,filtered_test_mini,qwen35_397b_a17b,,3.1088000000,539,539,0
test_time_scaling_rating,filtered_test_mini,qwen35_9b,2,1.6303000000,539,539,0
test_time_scaling_rating,filtered_test_mini,qwen35_9b,3,1.6092000000,539,539,0
test_time_scaling_rating,filtered_test_mini,qwen35_9b,4,1.6293000000,539,539,0
test_time_scaling_rating,filtered_test_mini,gpt_5_4_mini,2,3.8382000000,539,539,0
test_time_scaling_rating,filtered_test_mini,gpt_5_4_mini,3,3.8307000000,539,539,0
test_time_scaling_rating,filtered_test_mini,gpt_5_4_mini,4,3.8118000000,539,539,0
render_success_rate,filtered_test,qwen35_9b,,0.7307514984,2169,2169,0
render_success_rate,filtered_test_mini,qwen35_9b,,0.7513914657,539,539,0
render_success_rate,filtered_test,kimi_k2_5,,0.8667588751,2169,2169,0
render_success_rate,filtered_test_mini,kimi_k2_5,,0.8849721707,539,539,0
render_success_rate,filtered_test,kimi_k2_5_reasoning,,0.8999538958,2169,2169,0
render_success_rate,filtered_test_mini,kimi_k2_5_reasoning,,0.9090909091,539,539,0
render_success_rate,filtered_test,qwen35_397b_a17b,,0.8575380360,2169,2169,0
render_success_rate,filtered_test_mini,qwen35_397b_a17b,,0.8794063080,539,539,0
render_success_rate,filtered_test,qwen35_397b_a17b_reasoning,,0.8224988474,2169,2169,0
render_success_rate,filtered_test_mini,qwen35_397b_a17b_reasoning,,0.8163265306,539,539,0
render_success_rate,filtered_test,gpt_5_4,,0.9810972799,2169,2169,0
render_success_rate,filtered_test_mini,gpt_5_4,,0.9758812616,539,539,0
render_success_rate,filtered_test,gpt_5_4_mini,,0.9313047487,2169,2169,0
render_success_rate,filtered_test_mini,gpt_5_4_mini,,0.9406307978,539,539,0
render_success_rate,filtered_test,gpt_5_4_mini_reasoning_medium,,0.9875518672,2169,2169,0
render_success_rate,filtered_test_mini,gpt_5_4_mini_reasoning_medium,,0.9888682746,539,539,0
render_success_rate,filtered_test,gemini_3_1_flash_lite_preview,,0.9160903642,2169,2169,0
render_success_rate,filtered_test_mini,gemini_3_1_flash_lite_preview,,0.9220779221,539,539,0
cosine_image_only_0_to_5_all_rows,filtered_test,qwen35_9b,,3.3404115285,2169,2169,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test,qwen35_9b,,3.4725233474,2169,2169,0
cosine_image_only_0_to_5_all_rows,filtered_test,kimi_k2_5,,4.1616309720,2169,2169,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test,kimi_k2_5,,4.2277802647,2169,2169,0
cosine_image_only_0_to_5_all_rows,filtered_test,qwen35_397b_a17b,,4.0276856249,2169,2169,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test,qwen35_397b_a17b,,4.1331102790,2169,2169,0
cosine_image_only_0_to_5_all_rows,filtered_test_mini,qwen35_9b,,3.4845382151,539,539,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test_mini,qwen35_9b,,3.6259948422,539,539,0
cosine_image_only_0_to_5_all_rows,filtered_test_mini,kimi_k2_5,,4.4661491719,539,539,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test_mini,kimi_k2_5,,4.5411744158,539,539,0
cosine_image_only_0_to_5_all_rows,filtered_test_mini,qwen35_397b_a17b,,4.2240873310,539,539,0
cosine_image_plus_text_0_to_5_all_rows,filtered_test_mini,qwen35_397b_a17b,,4.3341353284,539,539,0
