split,source_split,rating_source_split,model_slug,input_path,num_scores,duplicate_rows,invalid_score_rows
filtered_test_mini,test-mini,test,qwen35_9b,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_9b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,539,0,0
filtered_test_mini,test-mini,test,kimi_k2_5,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,539,0,0
filtered_test_mini,test-mini,test,kimi_k2_5_reasoning,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,539,0,0
filtered_test_mini,test-mini,test,qwen35_397b_a17b,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,538,0,1
filtered_test_mini,test-mini,test,qwen35_397b_a17b_reasoning,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,539,0,0
filtered_test_mini,test-mini,test,gpt_5_4_mini,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,538,0,1
filtered_test_mini,test-mini,test,gpt_5_4_mini_reasoning_medium,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini_reasoning_medium/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,539,0,0
filtered_test_mini,test-mini,test,gemini_3_1_flash_lite_preview,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gemini_3_1_flash_lite_preview/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,538,0,1
filtered_test,test,test,qwen35_9b,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_9b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2169,0,0
filtered_test,test,test,kimi_k2_5,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2168,0,1
filtered_test,test,test,kimi_k2_5_reasoning,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2169,0,0
filtered_test,test,test,qwen35_397b_a17b,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2167,0,2
filtered_test,test,test,qwen35_397b_a17b_reasoning,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2169,0,0
filtered_test,test,test,gpt_5_4_mini,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2168,0,1
filtered_test,test,test,gpt_5_4_mini_reasoning_medium,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini_reasoning_medium/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2169,0,0
filtered_test,test,test,gemini_3_1_flash_lite_preview,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gemini_3_1_flash_lite_preview/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv,2166,0,3
